"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Components (product.metafields.custom.components)","Shipping Info (product.metafields.custom.shipping_info)","expiration months (product.metafields.custom.expiration_months)","Catalog Number (product.metafields.custom.catalog_number)","Volume (product.metafields.custom.volume)","Unit/Packs (product.metafields.custom.unit_packs)","Storage Conditions (product.metafields.custom.storage_conditions)","Matrix (product.metafields.custom.matrix)","CAS Number (product.metafields.custom.cas_number)","DOT Hazardous (product.metafields.custom.dot_hazardous)","COA (product.metafields.custom.coa)","SDS (product.metafields.custom.sds)"
"s-3020-phenanthrene-d10-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#1517-22-2-in-methylene-chloride-1-ml","Phenanthrene-d10 Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #1517-22-2 in Methylene Chloride, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""Phenanthrene-d10"",""concentration"":""1,000 μg/mL"",""matrix"":""Methylene Chloride"",""cas"":""1517-22-2""}]","Ambient","36","S-3020","1 mL","1","Ambient","Methylene Chloride","1517-22-2","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-3020.pdf"
"s-3005-perylene-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#198-55-0-in-methylene-chloride-1-ml","Perylene Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #198-55-0 in Methylene Chloride, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""Perylene"",""concentration"":""1,000 μg/mL"",""matrix"":""Methylene Chloride"",""cas"":""198-55-0""}]","Ambient","36","S-3005","1 mL","1","Ambient","Methylene Chloride","198-55-0","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-3005.pdf"
"s-3000-permethrin-(cis-&-trans)-individual-analyte-for-us-epa-method-8081-1-000-g-ml-(1-000-ppm)-cas-#52645-53-1-in-acetone-1-ml","Permethrin (cis & trans) Individual Analyte for US EPA Method 8081, 1,000 μg/mL (1,000 ppm), CAS #52645-53-1 in Acetone, 1 mL","Pesticides, PCBs and Herbicides

The EPA is tasked with the monitoring of environmental systems as they pertain to contamination and human health. The methods issued by the EPA are created to respond to specific toxins or persistent organic pollutants (POPs) found in environmental samples such as soil, source water, drinking water, and waste. In particular, pollutants such as polychlorinated biphenyls (PCBs), which were in widespread industrial use up until their restriction, are of concern due to their stable and persistent nature in the environment. Another group of chemicals of high concern is the hundreds of commercial pesticides and herbicides in use in the world today. Pesticides, from algaecides to virucides, are used in large quantities in industrial and private agriculture. The concern over human pesticide exposure over the past few decades has led to extensive monitoring of these pesticides. It has been reported that over 98% of insecticides and 95% of herbicides affect areas other than their intended target product. It is essential that monitoring agencies have accurate standard mixes to measure the pesticide levels in the environment. 

Many new pesticides are now being tested using highly sensitive LC/MS techniques, in addition to traditional GC techniques, to determine minute amounts of residue in environmental samples and food products. 

At SPEX CertiPrep, we facilitate ease of monitoring and testing of pesticides by creating pesticide test mixes to suit your monitoring needs. SPEX CertiPrep is the leader in offering pesticide standards designed to work within EPA, AOAC and FDA analytical testing methods using all of the leading analytical techniques: LC, LC/MS, GC, and GC/MS. Many pesticide standard mixes are readily available in our catalog along with a large list of single pesticide standards. In addition, custom pesticide mixes can be made to your specifications to create a mix that meets your needs.

US EPA Method 8081 is an analytical method for the monitoring of organochlorine pesticides and PCBs in environmental samples by GC/ECD",,,,"TRUE","[{""component"":""Permethrin (cis & trans)"",""concentration"":""1,000 μg/mL"",""matrix"":""Acetone"",""cas"":""52645-53-1""}]","Ambient","36","S-3000","1 mL","1","Ambient","Acetone","52645-53-1","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-3000.pdf"
"s-2990-n-pentatriacontane-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#630-07-9-in-hexane-1-ml","n-Pentatriacontane Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #630-07-9 in Hexane, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""n-Pentatriacontane"",""concentration"":""1,000 μg/mL"",""matrix"":""Hexane"",""cas"":""630-07-9""}]","Ambient","36","S-2990","1 mL","1","Ambient","Hexane","630-07-9","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2990.pdf"
"s-2980-1-pentanol-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#71-41-0-in-methanol-p&t-1-ml","1-Pentanol Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #71-41-0 in Methanol-P&T, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""1-Pentanol"",""concentration"":""1,000 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""71-41-0""}]","Ambient","36","S-2980","1 mL","1","Ambient","Methanol-P&T","71-41-0","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2980.pdf"
"s-2975-n-pentane-residual-solvent-standard-1-000-g-ml-(1-000-ppm)-cas-#109-66-0-in-methanol-p&t-1-ml","n-Pentane Residual Solvent Standard, 1,000 μg/mL (1,000 ppm), CAS #109-66-0 in Methanol-P&T, 1 mL","Analytical Standards for Medicinal and Recreational Cannabis Testing
Residual Solvent Single Standard

While the legalization of cannabis for both medicinal and recreational purposes has been gaining speed, legislation and regulation has not necessarily kept pace. Out of a drive for self-regulation and significant consumer safety concerns, many producers and manufacturers are turning to testing labs in order to ensure that their products are of high quality and free of chemical contaminants. 

SPEX CertiPrep offers ISO/IEC 17025 and ISO 17034 Certified Reference Materials (CRMs) for all of the common contaminants such as pesticide residues, residual solvents and heavy metals, as well as qualitative analysis CRMs, such as terpenes. As the
industry demands change and regulations are put into place, we continually update our product offering.

Designed for Methods: State specific pesticide regulations:
� OAR 333-008-11
� HB 3460
� AOAC 2007-01
� EN 15662",,,,"TRUE","[{""component"":""n-Pentane"",""concentration"":""1,000 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""109-66-0""}]","Ambient","36","S-2975","1 mL","1","Ambient","Methanol-P&T","109-66-0","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2975.pdf"
"s-2920-parathion-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#56-38-2-in-methanol-1-ml","Parathion Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #56-38-2 in Methanol, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""Parathion"",""concentration"":""1,000 μg/mL"",""matrix"":""Methanol"",""cas"":""56-38-2""}]","Ambient","36","S-2920","1 mL","1","Ambient","Methanol","56-38-2","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2920.pdf"
"s-2915-paraquat-dichloride-tetrahydrate-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#1910-42-5-in-methanol-p&t-1-ml","Paraquat dichloride tetrahydrate Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #1910-42-5 in Methanol-P&T, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""Paraquat dichloride tetrahydrate"",""concentration"":""1,000 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""1910-42-5""}]","Ambient","36","S-2915","1 mL","1","Ambient","Methanol-P&T","1910-42-5","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2915.pdf"
"s-288-anisole-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#100-66-3-in-methanol-1-ml","Anisole Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #100-66-3 in Methanol, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""Anisole"",""concentration"":""1,000 μg/mL"",""matrix"":""Methanol"",""cas"":""100-66-3""}]","Ambient","12","S-288","1 mL","1","Ambient","Methanol","100-66-3","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-288.pdf"
"s-2850-n-octadecane-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#593-45-3-in-methanol-p&t-1-ml","n-Octadecane Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #593-45-3 in Methanol-P&T, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""n-Octadecane"",""concentration"":""1,000 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""593-45-3""}]","Ambient","36","S-2850","1 mL","1","Ambient","Methanol-P&T","593-45-3","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2850.pdf"
"s-2825-n-nitrosodi-n-butylamine-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#924-16-3-in-methanol-1-ml","n-Nitrosodi-n-butylamine Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #924-16-3 in Methanol, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""n-Nitrosodi-n-butylamine"",""concentration"":""1,000 μg/mL"",""matrix"":""Methanol"",""cas"":""924-16-3""}]","Ambient","36","S-2825","1 mL","1","Ambient","Methanol","924-16-3","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2825.pdf"
"s-2815-n-nitrosodimethylamine-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#62-75-9-in-methanol-p&t-1-ml","n-Nitrosodimethylamine Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #62-75-9 in Methanol-P&T, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""n-Nitrosodimethylamine"",""concentration"":""1,000 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""62-75-9""}]","Ambient","36","S-2815","1 mL","1","Ambient","Methanol-P&T","62-75-9","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2815.pdf"
"s-2811-n-nitrosodiethanolamine-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#1116-54-7-in-methanol-p&t-1-ml","n-Nitrosodiethanolamine Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #1116-54-7 in Methanol-P&T, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""n-Nitrosodiethanolamine"",""concentration"":""1,000 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""1116-54-7""}]","Freezer","36","S-2811","1 mL","1","Freezer","Methanol-P&T","1116-54-7","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2811.pdf"
"s-2810-n-nitrosodiethylamine-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#55-18-5-in-methanol-p&t-1-ml","n-Nitrosodiethylamine Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #55-18-5 in Methanol-P&T, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""n-Nitrosodiethylamine"",""concentration"":""1,000 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""55-18-5""}]","Ambient","36","S-2810","1 mL","1","Ambient","Methanol-P&T","55-18-5","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2810.pdf"
"s-2785-n-nonane-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#111-84-2-in-methanol-p&t-1-ml","n-Nonane Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #111-84-2 in Methanol-P&T, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""n-Nonane"",""concentration"":""1,000 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""111-84-2""}]","Ambient","36","S-2785","1 mL","1","Ambient","Methanol-P&T","111-84-2","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2785.pdf"
"s-2760-2-nitro-m-xylene-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#81-20-9-in-methanol-p&t-1-ml","2-Nitro-m-xylene Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #81-20-9 in Methanol-P&T, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""2-Nitro-m-xylene"",""concentration"":""1,000 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""81-20-9""}]","Ambient","36","S-2760","1 mL","1","Ambient","Methanol-P&T","81-20-9","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2760.pdf"
"s-2755-1-nitrosopyrrolidine-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#930-55-2-in-methanol-p&t-1-ml","1-Nitrosopyrrolidine Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #930-55-2 in Methanol-P&T, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""1-Nitrosopyrrolidine"",""concentration"":""1,000 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""930-55-2""}]","Ambient","36","S-2755","1 mL","1","Ambient","Methanol-P&T","930-55-2","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2755.pdf"
"s-2749-n-nitrosomorpholine-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#59-89-2-in-methanol-p&t-1-ml","n-Nitrosomorpholine Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #59-89-2 in Methanol-P&T, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""n-Nitrosomorpholine"",""concentration"":""1,000 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""59-89-2""}]","Ambient","36","S-2749","1 mL","1","Ambient","Methanol-P&T","59-89-2","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2749.pdf"
"s-2680-nicotine-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#54-11-5-in-methanol-1-ml","Nicotine Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #54-11-5 in Methanol, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""Nicotine"",""concentration"":""1,000 μg/mL"",""matrix"":""Methanol"",""cas"":""54-11-5""}]","Ambient","36","S-2680","1 mL","1","Ambient","Methanol","54-11-5","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2680.pdf"
"s-2660-naphthalene-d8-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#1146-65-2-in-methanol-p&t-1-ml","Naphthalene-d8 Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #1146-65-2 in Methanol-P&T, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""Naphthalene-d8"",""concentration"":""1,000 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""1146-65-2""}]","Ambient","36","S-2660","1 mL","1","Ambient","Methanol-P&T","1146-65-2","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2660.pdf"
"s-2654-meoh-beta-myrcene-single-component-cannstandard-1-000-g-ml-(1-000-ppm)-cas-#123-35-3-in-methanol-1-ml","beta-Myrcene Single-Component CannStandard, 1,000 μg/mL (1,000 ppm), CAS #123-35-3 in Methanol, 1 mL","Cannabis Standards
Analytical Standards for Medicinal and Recreational Cannabis Testing

While the legalization of cannabis for both medicinal and recreational purposes has been gaining speed, legislation and regulation has not necessarily kept pace. Out of a drive for self-regulation and significant consumer safety concerns, many producers and manufacturers are turning to testing labs in order to ensure that their products are of high quality and free of chemical contaminants.

SPEX CertiPrep offers ISO/IEC 17025 and ISO 17034 Certified Reference Materials (CRMs) for all of the common contaminants such as pesticide residues, residual solvents and heavy metals, as well as qualitative analysis CRMs, such as terpenes. As the industry demands change and regulations are put into place, we continually update our product offering.

Designed for Methods: State specific pesticide regulations:
� OAR 333-008-11
� HB 3460
� AOAC 2007-01
� EN 15662",,,,"TRUE","[{""component"":""beta-Myrcene"",""concentration"":""1,000 μg/mL"",""matrix"":""Methanol"",""cas"":""123-35-3""}]","Ambient","12","S-2654-MEOH","1 mL","1","Ambient","Methanol","123-35-3","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2654-MEOH.pdf"
"s-2654-beta-myrcene-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#123-35-3-in-hexane-1-ml","beta-Myrcene Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #123-35-3 in Hexane, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""beta-Myrcene"",""concentration"":""1,000 μg/mL"",""matrix"":""Hexane"",""cas"":""123-35-3""}]","Refrigerator","24","S-2654","1 mL","1","Refrigerator","Hexane","123-35-3","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2654.pdf"
"s-2635-mirex-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#2385-85-5-in-hexane:toluene-(50:50)-1-ml","Mirex Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #2385-85-5 in Hexane:Toluene (50:50), 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""Mirex"",""concentration"":""1,000 μg/mL"",""matrix"":""Hexane:Toluene (50:50)"",""cas"":""2385-85-5""}]","Ambient","36","S-2635","1 mL","1","Ambient","Hexane:Toluene (50:50)","2385-85-5","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2635.pdf"
"s-2600-4-methyl-2-pentanone-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#108-10-1-in-methanol-p&t-1-ml","4-Methyl-2-pentanone Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #108-10-1 in Methanol-P&T, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""4-Methyl-2-pentanone"",""concentration"":""1,000 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""108-10-1""}]","Ambient","36","S-2600","1 mL","1","Ambient","Methanol-P&T","108-10-1","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2600.pdf"
"s-2585-2-methyl-1-propanol-single-component-organic-standard-1-000-g-ml-(1-000-ppm)-cas-#78-83-1-in-methanol-p&t-1-ml","2-Methyl-1-propanol Single-Component Organic Standard, 1,000 μg/mL (1,000 ppm), CAS #78-83-1 in Methanol-P&T, 1 mL","Single-Component Organic Standards

Single-component standards are available as stock items. They are supplied in methanol, or in another solvent, where appropriate. Additional solvents include methylene chloride, acetone, benzene, hexane, acetonitrile, THF, and water. Please inquire about the matrix for a particular item when ordering, if the matrix is important to your application, a substitution may be possible.

Concentrations other than these, as well as custom matrices, are readily available, but a minimum order of five ampules may be required in some cases.",,,,"TRUE","[{""component"":""2-Methyl-1-propanol"",""concentration"":""1,000 μg/mL"",""matrix"":""Methanol-P&T"",""cas"":""78-83-1""}]","Ambient","36","S-2585","1 mL","1","Ambient","Methanol-P&T","78-83-1","Non-Hazardous","https://www.spexcertiprep.com/knowledge-base/files/Organic-Sample-CofA.pdf","https://www.spexcertiprep.com/MSDS/S-2585.pdf"
